0,1,0 | 6,33,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,33,6 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,33,6 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,33,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,33,6 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,33,7 | S=(0,0) | I= | sp=938 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=934 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=936 | ip=
0,1,0 | 6,33,8 | S=(0,0) | I= | sp=938 | ip=
0,1,0 | 6,42,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,331,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,331,4 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,331,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,331,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 6,331,6 | S=(0,0) | I= | sp=22 | ip=
0,1,0 | 6,331,6 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 6,331,6 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,331,6 | S=(0,0) | I= | sp=934 | ip=
