0 | 4 | S=(0,0) | I= | sp=936 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=936 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=5
0 | 4 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=1
0 | 4 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=2
0 | 4 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=3
0 | 4 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=884 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=884 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=884 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=885 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=885 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=22 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=22 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=23 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=23 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=33 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=24 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=24 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=993 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=993 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=993 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=96 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=96 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=97 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=98 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=99 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=99 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=911 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=911 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=911 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=912 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=913 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=913 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=913 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=914 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=914 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=915 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=915 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=915 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=331 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=43 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=34 | ip= | E=(0,1,0,0) | ep=5
