0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=99920 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=9914 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,8,33,4 | S=(0,0) | I= | sp=944 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=883 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=23 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=33 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=883 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=23 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,45,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=33 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,53,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0 | 8,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,12,55,6 | S=(0,0) | I= | sp=882 | ip=
